s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174,s175,s176,s177,s178,s179,s180,s181,s182,s183,s184,s185,s186,s187,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s202,s203,s204,s205,s206,s207,s208,s209,s210,s211,s212,s213,s214,s215,s216,s217,s218,s219,s220,s221,s222,s223,s224,s225,s226,s227,s228,s229,s230,s231,s232,s233,s234,s235,s236,s237,s238,s239,s240,s241,s242,s243,s244,s245,s246,s247,s248,s249,s250,s251,s252,s253,s254,s255,s256,s257,s258,s259,s260,s261,s262,s263,s264,s265,s266,s267,s268,s269,s270,s271,s272,s273,s274,s275,s276,s277,s278,s279,s280,s281,s282,s283,s284,s285,s286,s287,s288,s289,s290,s291,s292,s293,s294,s295,s296,s297,s298,s299,infere,familly
73,0,2,3,1,0,3,2,1,0,0,3,2,2,3,3,3,2,0,3,0,0,0,0,3,0,0,0,1,0,0,1,1,2,3,2,3,1,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,2,3,0,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,1,3,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,3,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,0,2,3,1,2,0,0,3,1,2,0,3,0,3,0,2,3,3,2,2,2,0,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,2,3,0,0,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,2,0,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,3,1,1,2,0,3,0,0,2,1,2,1,0,2,0,1,3,2,1,3,1,3,1,0,3,1,2,3,2,2,0,0,CU928158.2/520241-520425,0
74,0,2,3,1,0,3,2,1,0,0,3,2,2,3,3,3,2,0,3,0,0,0,0,3,0,0,0,3,0,0,1,1,2,3,2,3,1,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,2,3,0,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,1,3,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,3,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,0,2,3,1,2,0,0,3,1,2,0,3,0,3,0,2,3,3,2,2,2,0,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,2,3,0,0,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,2,0,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,3,1,1,2,0,3,0,0,2,1,2,1,0,2,0,1,3,2,1,3,1,3,1,0,3,3,2,3,2,2,0,0,AEHW01000008.1/35554-35738,0
75,0,2,3,1,0,3,2,1,0,0,3,2,2,3,3,3,2,0,3,0,0,0,0,2,0,0,0,3,0,0,1,1,2,3,2,3,1,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,3,3,0,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,1,3,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,3,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,0,2,3,1,2,1,0,3,1,2,0,3,0,3,0,2,3,3,2,2,3,0,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,3,3,0,0,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,2,0,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,3,1,1,2,0,3,0,0,2,1,2,1,0,2,0,1,3,2,1,3,1,3,1,0,3,3,2,3,2,2,0,0,ABHP01000007.1/25024-25208,0
76,0,2,3,0,0,1,0,1,0,0,3,3,2,3,3,3,1,0,2,0,0,0,0,1,3,3,0,1,0,0,1,1,2,3,2,3,3,0,0,3,2,0,1,2,3,0,3,3,0,1,3,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,3,1,1,1,3,2,1,2,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,3,0,3,1,2,1,0,3,1,2,0,0,0,3,0,2,3,3,2,2,0,2,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,0,0,3,1,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,1,2,1,2,0,0,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,3,0,1,0,1,3,1,2,1,3,2,3,2,1,0,CP000026.1/338819-339003,0
77,0,2,3,0,0,1,0,1,0,0,3,3,2,3,3,3,1,0,2,0,0,0,0,1,3,3,0,1,0,0,1,1,2,3,2,3,3,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,3,1,1,1,3,2,1,2,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,3,0,3,1,2,1,0,3,1,2,0,0,0,3,0,2,3,3,2,2,0,2,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,0,0,3,1,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,1,2,1,2,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,3,0,1,0,1,3,1,2,1,3,2,3,2,1,0,AETU01000049.1/40154-40338,0
78,0,2,3,1,0,3,2,1,0,0,3,2,2,3,3,3,2,0,3,0,0,0,0,3,0,0,0,3,0,0,1,1,2,3,2,3,1,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,2,3,0,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,1,3,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,3,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,0,2,3,1,2,0,0,3,1,2,0,3,0,3,0,2,3,3,2,2,2,0,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,2,3,0,0,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,2,0,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,3,1,1,2,0,3,0,0,2,1,2,1,0,2,0,1,3,2,1,3,1,3,1,0,3,3,2,3,2,2,0,0,AEZI01000040.1/57128-57312,0
79,0,2,3,0,2,3,0,1,0,0,3,3,0,0,3,3,0,0,1,0,0,0,0,1,2,3,3,2,2,0,1,1,2,3,2,3,3,0,0,3,2,0,1,2,3,0,3,3,0,1,3,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,3,1,1,1,3,2,1,2,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,3,0,3,1,2,1,0,3,1,2,0,0,0,3,0,2,3,3,2,2,0,2,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,0,0,3,1,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,1,2,1,2,0,0,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,3,0,1,0,1,3,1,2,1,3,2,3,2,1,0,CP000857.1/1127499-1127683,0
80,0,2,3,0,0,1,0,1,0,0,3,3,2,3,3,3,1,0,2,0,0,0,0,1,3,3,0,1,0,0,1,1,2,3,2,3,3,0,0,3,2,0,1,2,3,0,3,3,0,1,3,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,3,1,1,1,3,2,1,2,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,3,0,3,1,2,1,0,3,1,2,0,0,0,3,0,2,3,3,2,2,0,2,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,0,0,3,1,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,1,2,1,2,0,0,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,3,0,1,0,1,3,1,2,1,3,2,3,2,1,0,ABFH02000001.1/2430502-2430686,0
81,0,2,3,1,0,3,2,1,0,0,3,2,2,3,3,3,2,0,3,0,0,0,0,2,0,0,0,3,0,0,1,1,2,3,2,3,1,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,3,3,0,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,1,3,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,3,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,0,2,3,1,2,1,0,3,1,2,0,3,0,3,0,2,3,3,2,2,3,0,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,3,3,0,0,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,2,0,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,3,1,1,2,0,3,0,0,2,1,2,1,0,2,0,1,3,2,1,3,1,3,1,0,3,3,2,3,2,2,0,0,ADVA01000251.1/34553-34737,0
82,0,2,3,0,0,1,0,1,0,0,3,3,2,3,3,3,1,0,2,0,0,0,0,1,3,3,0,1,0,0,1,1,2,3,2,3,3,0,0,3,2,0,1,2,3,0,3,3,0,1,3,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,3,1,1,1,3,2,1,2,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,3,0,3,1,2,1,0,3,1,2,0,0,0,3,0,2,3,3,2,2,0,2,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,0,0,3,1,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,1,2,1,2,0,0,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,3,0,1,0,1,3,1,2,1,3,2,3,2,1,0,FM200053.1/338853-339037,0
83,0,2,3,0,3,0,0,0,0,2,2,3,0,3,0,0,0,3,0,2,3,0,0,1,0,1,0,0,3,3,0,3,3,3,1,0,1,0,0,0,0,1,3,3,0,3,0,0,1,1,2,3,2,3,1,3,0,1,2,0,1,2,3,0,3,3,0,3,0,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,3,0,2,0,1,3,0,3,0,0,3,1,2,1,0,3,1,2,0,3,0,3,0,2,3,3,2,2,0,0,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,2,3,3,2,3,3,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,AGFT01124097.1/84-233,0
84,0,2,3,0,3,3,1,1,3,0,3,1,0,3,0,2,3,3,0,0,0,0,0,1,2,3,3,0,2,0,1,1,2,3,2,1,2,1,2,1,0,0,1,2,3,0,3,3,0,3,1,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,3,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,3,2,0,1,3,0,0,3,0,0,1,2,3,3,0,1,2,0,0,0,3,0,2,3,1,1,2,2,3,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,1,3,2,3,3,3,1,2,2,1,1,1,0,0,0,0,0,3,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,1,1,1,2,3,1,3,2,0,2,3,1,0,0,3,2,1,2,0,2,0,2,2,0,2,3,3,3,2,2,2,1,1,3,0,1,3,0,1,3,1,3,1,0,3,3,0,1,0,1,0,FP929040.1/3748026-3748211,0
85,2,1,3,0,3,0,0,0,0,0,2,3,0,3,0,2,0,3,0,2,3,0,0,1,0,1,0,0,3,3,2,3,3,3,1,0,2,0,0,0,0,1,3,3,0,1,0,0,1,1,2,3,2,3,3,0,0,3,2,0,1,2,3,0,3,3,0,1,1,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,3,1,1,1,3,2,1,2,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,0,3,3,2,0,0,2,0,1,3,0,3,3,0,3,1,2,1,0,3,1,2,0,0,0,3,0,2,3,3,2,2,0,2,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,CAAV01001277.1/253-402,0
86,0,2,1,3,0,3,1,2,0,0,3,2,2,3,3,3,2,0,3,0,0,0,0,2,0,0,0,3,0,0,1,1,2,3,2,3,1,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,1,3,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,3,0,3,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,0,2,3,1,2,1,0,3,1,2,0,3,0,3,0,2,3,3,2,2,3,0,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,3,3,0,0,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,2,0,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,3,1,1,2,0,3,0,0,2,1,2,1,0,2,0,1,3,2,1,3,1,3,1,0,3,3,2,3,2,2,0,0,M19501.1/5498-5682,0
87,0,2,3,1,0,3,2,1,0,0,3,2,2,3,3,3,2,0,3,0,0,0,0,2,0,0,0,3,0,0,1,1,2,3,2,3,1,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,3,3,0,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,1,3,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,3,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,0,2,3,1,2,1,0,3,1,2,0,3,0,3,0,2,3,3,2,2,3,0,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,3,3,0,0,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,2,0,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,3,1,1,2,0,3,0,0,2,1,2,1,0,2,0,1,3,2,1,3,1,3,1,0,3,3,2,3,2,2,0,0,ABHO01000004.1/59948-60132,0
88,0,2,3,0,0,1,0,1,0,0,3,3,2,3,3,3,1,0,2,0,0,0,0,1,3,3,0,1,0,0,1,1,2,3,2,3,3,0,0,3,2,0,1,2,3,0,3,3,0,1,1,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,3,1,1,1,3,2,1,2,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,0,3,3,2,0,0,2,0,1,3,0,3,3,0,3,1,2,1,0,3,1,2,0,0,0,3,0,2,3,3,2,2,0,2,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,0,0,3,1,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,2,1,2,0,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,3,0,1,0,1,3,1,2,1,3,2,3,2,1,0,CAAQ01005660.1/1527-1711,0
89,0,2,3,0,0,1,0,1,0,0,3,3,2,3,3,3,1,0,2,0,0,0,0,1,3,3,0,1,0,0,1,1,2,3,2,3,3,0,0,3,2,0,1,2,3,0,3,3,0,1,1,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,3,1,1,1,3,2,1,2,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,0,3,3,2,0,0,2,0,1,3,0,3,3,0,3,1,2,1,0,3,1,2,0,0,0,3,0,2,3,3,2,2,0,2,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,0,0,3,1,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,2,1,2,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,3,0,1,0,1,3,1,2,1,3,2,3,2,CAAT01000053.1/37189-37373,0
90,0,2,3,1,0,3,2,1,0,0,3,2,2,3,3,3,2,0,3,0,0,0,0,2,0,0,0,3,0,0,1,1,2,3,2,3,1,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,3,3,0,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,1,3,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,3,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,0,2,3,1,2,1,0,3,1,2,0,3,0,3,0,2,3,3,2,2,3,0,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,3,3,0,0,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,2,0,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,3,1,1,2,0,3,0,0,2,1,2,1,0,2,0,1,3,2,1,3,1,3,1,0,3,3,2,3,2,2,0,0,ABKY02000002.1/750597-750781,0
91,0,2,3,0,0,1,0,1,0,0,3,3,2,3,3,3,1,0,2,0,0,0,0,1,3,3,0,1,0,0,1,1,2,3,2,3,3,0,0,3,2,0,1,2,3,0,3,3,0,3,1,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,3,1,1,1,3,2,1,2,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,2,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,0,2,0,1,3,0,3,3,0,3,1,2,1,0,3,1,2,0,0,0,3,0,2,3,3,2,2,0,2,2,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,3,3,2,3,3,3,1,2,2,1,1,1,0,0,0,3,1,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,1,2,1,2,0,2,2,2,2,0,2,1,1,0,0,3,1,2,3,0,2,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,3,0,1,0,1,3,1,2,1,3,2,3,2,1,0,AETF01000082.1/40319-40503,0
92,0,2,3,0,3,3,1,1,3,0,3,1,0,3,0,2,3,3,0,0,0,0,0,1,2,3,3,0,2,0,1,1,2,3,2,1,2,1,2,1,0,0,1,2,3,0,3,3,0,3,1,0,3,3,2,2,3,1,0,1,1,2,0,2,3,0,0,2,3,2,2,0,0,2,0,0,3,0,1,0,2,3,1,2,2,2,2,0,0,2,1,1,1,3,2,1,0,1,2,0,3,2,3,0,3,3,3,2,0,0,2,1,3,3,0,1,3,2,1,2,3,2,3,3,3,3,3,1,1,0,1,2,2,0,1,2,2,1,0,2,2,3,3,2,0,3,2,0,1,3,0,0,3,0,0,1,2,3,3,0,1,2,0,0,0,3,0,2,3,1,1,2,2,3,1,1,1,2,1,3,3,3,2,1,0,2,1,3,1,0,0,3,1,1,2,3,2,2,1,2,2,0,0,3,0,0,2,2,3,0,1,3,2,3,3,3,1,2,2,1,1,1,0,0,0,0,0,3,2,2,2,1,1,2,0,0,0,1,0,0,1,0,3,0,2,0,1,3,3,1,1,1,2,3,1,3,2,0,2,3,1,0,0,3,2,1,2,0,2,0,2,2,0,2,3,3,3,2,2,2,1,1,3,0,1,3,0,1,3,1,3,1,0,3,3,0,1,0,1,0,AGFS01105782.1/765-950,0
